Station Name,Grid Coordinates,Coordinates
BOX,"[91, 45]","[[[-70.6399497, 41.62681], [-70.6399497, 41.605329499999996], [-70.6112098, 41.605329499999996], [-70.6112098, 41.62681], [-70.6399497, 41.62681]]]"
BOX,"[94, 46]","[[[-70.5484962, 41.6365604], [-70.5484962, 41.615079800000004], [-70.5197563, 41.615079800000004], [-70.5197563, 41.6365604], [-70.5484962, 41.6365604]]]"
BOX,"[97, 46]","[[[-70.4622955, 41.6247806], [-70.4622955, 41.603300000000004], [-70.4335632, 41.603300000000004], [-70.4335632, 41.6247806], [-70.4622955, 41.6247806]]]"
BOX,"[101, 47]","[[[-70.3421058, 41.6304912], [-70.3421058, 41.609010600000005], [-70.3133811, 41.609010600000005], [-70.3133811, 41.6304912], [-70.3421058, 41.6304912]]]"
BOX,"[102, 47]","[[[-70.3133773, 41.626543], [-70.3133773, 41.6050548], [-70.284645, 41.6050548], [-70.284645, 41.626543], [-70.3133773, 41.626543]]]"
BOX,"[103, 47]","[[[-70.2846488, 41.6225795], [-70.2846488, 41.601099], [-70.2559242, 41.601099], [-70.2559242, 41.6225795], [-70.2846488, 41.6225795]]]"
BOX,"[108, 48]","[[[-70.1357383, 41.6241779], [-70.1357383, 41.602705], [-70.1070289, 41.602705], [-70.1070289, 41.6241779], [-70.1357383, 41.6241779]]]"
BOX,"[110, 49]","[[[-70.0729598, 41.6376647], [-70.0729598, 41.616195600000005], [-70.0442428, 41.616195600000005], [-70.0442428, 41.6376647], [-70.0729598, 41.6376647]]]"
BOX,"[114, 49]","[[[-69.9580955, 41.6216545], [-69.9580955, 41.6001853], [-69.9293861, 41.6001853], [-69.9293861, 41.6216545], [-69.9580955, 41.6216545]]]"
BOX,"[115, 50]","[[[-69.9240112, 41.6390914], [-69.9240112, 41.61763], [-69.8952941, 41.61763], [-69.8952941, 41.6390914], [-69.9240112, 41.6390914]]]"
BOX,"[119, 50]","[[[-69.8091697, 41.6229934], [-69.8091697, 41.6015243], [-69.7804756, 41.6015243], [-69.7804756, 41.6229934], [-69.8091697, 41.6229934]]]"
BOX,"[121, 51]","[[[-69.7463569, 41.6363544], [-69.7463569, 41.6149044], [-69.7176475, 41.6149044], [-69.7176475, 41.6363544], [-69.7463569, 41.6363544]]]"
BOX,"[128, 52]","[[[-69.5400085, 41.6293735], [-69.5400085, 41.6079235], [-69.5113067, 41.6079235], [-69.5113067, 41.6293735], [-69.5400085, 41.6293735]]]"
BOX,"[15, 33]","[[[-72.8874511, 41.6518611], [-72.8874511, 41.6303195], [-72.85862730000001, 41.6303195], [-72.85862730000001, 41.6518611], [-72.8874511, 41.6518611]]]"
BOX,"[17, 33]","[[[-72.829792, 41.644762], [-72.829792, 41.6232204], [-72.8009605, 41.6232204], [-72.8009605, 41.644762], [-72.829792, 41.644762]]]"
BOX,"[30, 35]","[[[-72.4455718, 41.6411972], [-72.4455718, 41.6196594], [-72.4167633, 41.6196594], [-72.4167633, 41.6411972], [-72.4455718, 41.6411972]]]"
BOX,"[53, 39]","[[[-71.7635574, 41.6428165], [-71.7635574, 41.621305400000004], [-71.7347793, 41.621305400000004], [-71.7347793, 41.6428165], [-71.7635574, 41.6428165]]]"
BOX,"[59, 40]","[[[-71.585865, 41.6418857], [-71.585865, 41.620374600000005], [-71.5570793, 41.620374600000005], [-71.5570793, 41.6418857], [-71.585865, 41.6418857]]]"
BOX,"[62, 41]","[[[-71.4944992, 41.6521167], [-71.4944992, 41.6306056], [-71.46572110000001, 41.6306056], [-71.46572110000001, 41.6521167], [-71.4944992, 41.6521167]]]"
BOX,"[63, 41]","[[[-71.4657211, 41.6483306], [-71.4657211, 41.626831], [-71.436943, 41.626831], [-71.436943, 41.6483306], [-71.4657211, 41.6483306]]]"
BOX,"[65, 41]","[[[-71.4081649, 41.6407871], [-71.4081649, 41.619276], [-71.37940210000001, 41.619276], [-71.37940210000001, 41.6407871], [-71.4081649, 41.6407871]]]"
BOX,"[69, 42]","[[[-71.2880134, 41.6471099], [-71.2880134, 41.6256103], [-71.259243, 41.6256103], [-71.259243, 41.6471099], [-71.2880134, 41.6471099]]]"
BOX,"[73, 43]","[[[-71.1678428, 41.6533699], [-71.1678428, 41.6318702], [-71.1390724, 41.6318702], [-71.1390724, 41.6533699], [-71.1678428, 41.6533699]]]"
BOX,"[76, 43]","[[[-71.0815505, 41.6418762], [-71.0815505, 41.6203842], [-71.05278770000001, 41.6203842], [-71.05278770000001, 41.6418762], [-71.0815505, 41.6418762]]]"
BOX,"[78, 44]","[[[-71.018898, 41.6556968], [-71.018898, 41.6342048], [-70.99013509999999, 41.6342048], [-70.99013509999999, 41.6556968], [-71.018898, 41.6556968]]]"
BOX,"[82, 44]","[[[-70.9038658, 41.6402893], [-70.9038658, 41.6187896], [-70.8751106, 41.6187896], [-70.8751106, 41.6402893], [-70.9038658, 41.6402893]]]"
BOX,"[84, 45]","[[[-70.8411865, 41.6540374], [-70.8411865, 41.6325454], [-70.8124389, 41.6325454], [-70.8124389, 41.6540374], [-70.8411865, 41.6540374]]]"
BOX,"[86, 45]","[[[-70.7836761, 41.6462841], [-70.7836761, 41.6247959], [-70.75492849999999, 41.6247959], [-70.75492849999999, 41.6462841], [-70.7836761, 41.6462841]]]"
BOX,"[87, 45]","[[[-70.7549247, 41.6423931], [-70.7549247, 41.6209049], [-70.7261695, 41.6209049], [-70.7261695, 41.6423931], [-70.7549247, 41.6423931]]]"
BOX,"[92, 46]","[[[-70.6059875, 41.6443977], [-70.6059875, 41.6229057], [-70.5772399, 41.6229057], [-70.5772399, 41.6443977], [-70.6059875, 41.6443977]]]"
