Station Name,Grid Coordinates,Coordinates
CAR,"[123, 34]","[[[-67.4504079, 44.0028194], [-67.4564459, 43.9817352], [-67.42714640000001, 43.9773895], [-67.42110230000002, 43.9984734], [-67.4504079, 44.0028194]]]"
CAR,"[124, 34]","[[[-67.4211051, 43.9984738], [-67.4271492, 43.9773899], [-67.3978579, 43.9730404], [-67.39180780000001, 43.994123900000005], [-67.4211051, 43.9984738]]]"
CAR,"[86, 27]","[[[-68.5770207, 44.0125864], [-68.5828122, 43.9914804], [-68.55346340000001, 43.9873107], [-68.54766570000001, 44.0084164], [-68.5770207, 44.0125864]]]"
CAR,"[87, 27]","[[[-68.5476671, 44.0084166], [-68.5534648, 43.9873109], [-68.5241213, 43.9831369], [-68.51831750000001, 44.0042423], [-68.5476671, 44.0084166]]]"
CAR,"[89, 28]","[[[-68.4831559, 44.0211839], [-68.4889716, 44.0000697], [-68.4596157, 43.995884399999994], [-68.4537939, 44.016998199999996], [-68.4831559, 44.0211839]]]"
CAR,"[90, 28]","[[[-68.4537967, 44.0169986], [-68.4596185, 43.9958848], [-68.4302708, 43.9916956], [-68.4244429, 44.0128091], [-68.4537967, 44.0169986]]]"
CAR,"[91, 28]","[[[-68.4244471, 44.0128097], [-68.43027509999999, 43.9916962], [-68.40093829999999, 43.9875035], [-68.3951043, 44.008616700000005], [-68.4244471, 44.0128097]]]"
CAR,"[93, 28]","[[[-68.3657527, 44.0044174], [-68.3715929, 43.983304600000004], [-68.34224429999999, 43.979100100000004], [-68.33639799999999, 44.000212600000005], [-68.3657527, 44.0044174]]]"
CAR,"[94, 29]","[[[-68.3305617, 44.0213143], [-68.3364087, 44.000211], [-68.3070763, 43.9960044], [-68.30122320000001, 44.0171073], [-68.3305617, 44.0213143]]]"
CAR,"[95, 29]","[[[-68.3012189, 44.0171067], [-68.3070721, 43.9960037], [-68.2777338, 43.9917912], [-68.2718745, 44.0128939], [-68.3012189, 44.0171067]]]"
CAR,"[98, 29]","[[[-68.2131974, 44.0044547], [-68.2190689, 43.9833527], [-68.18974659999999, 43.979127299999995], [-68.1838691, 44.000229], [-68.2131974, 44.0044547]]]"
CAR,"[99, 30]","[[[-68.1779833, 44.0213267], [-68.18386339999999, 44.0002282], [-68.15452629999999, 43.9959962], [-68.14864009999998, 44.0170944], [-68.1779833, 44.0213267]]]"
CAR,"[100, 30]","[[[-68.148643, 44.0170948], [-68.15452920000001, 43.995996600000005], [-68.12520020000001, 43.99176070000001], [-68.119308, 44.01285860000001], [-68.148643, 44.0170948]]]"
CAR,"[101, 30]","[[[-68.1193066, 44.0128584], [-68.1251988, 43.9917605], [-68.0958696, 43.9875195], [-68.0899713, 44.008617099999995], [-68.1193066, 44.0128584]]]"
CAR,"[104, 31]","[[[-68.0253919, 44.0212264], [-68.03130730000001, 44.000124500000005], [-68.0019797, 43.99586910000001], [-67.99605820000001, 44.01697070000001], [-68.0253919, 44.0212264]]]"
CAR,"[105, 31]","[[[-67.996061, 44.0169711], [-68.0019825, 43.9958696], [-67.97266309999999, 43.9916103], [-67.96673549999998, 44.012711599999996], [-67.996061, 44.0169711]]]"
CAR,"[106, 31]","[[[-67.9667341, 44.0127114], [-67.9726617, 43.9916101], [-67.943342, 43.9873458], [-67.9374084, 44.0084468], [-67.9667341, 44.0127114]]]"
CAR,"[107, 31]","[[[-67.9374069, 44.0084466], [-67.9433406, 43.9873456], [-67.9140207, 43.9830762], [-67.9080809, 44.004176799999996], [-67.9374069, 44.0084466]]]"
CAR,"[108, 31]","[[[-67.9080795, 44.0041766], [-67.9140192, 43.983076000000004], [-67.88469909999999, 43.9788015], [-67.87875329999999, 43.9999018], [-67.9080795, 44.0041766]]]"
CAR,"[111, 32]","[[[-67.8141593, 44.0124204], [-67.820117, 43.9913341], [-67.7908013, 43.9870456], [-67.7848375, 44.0081316], [-67.8141593, 44.0124204]]]"
